Time,Fixed-Point-Operation,Edge,Label,Old Bound,New Bound,Occurred Due To,Clause-1,Clause-2,Clause-3
1,1,"('the_people_who_dug_for_rain', 'moral_emphasis')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_moral_emphasis,,,
1,1,"('the_people_who_dug_for_rain', 'relationship_framing')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_relationship_framing,,,
1,1,"('the_people_who_dug_for_rain', 'vertical_individualism')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_vertical_individualism,,,
1,1,"('the_people_who_dug_for_rain', 'behavioral_guidance')",corpus,"[0.0,1.0]","[0.01,0.01]",rule_0,"[('the_people_who_dug_for_rain', 'behavioral_guidance')]",['the_people_who_dug_for_rain'],['behavioral_guidance']
1,1,"('the_people_who_dug_for_rain', 'decision_driven_plot')",corpus,"[0.0,1.0]","[0.01,0.01]",rule_6,"[('the_people_who_dug_for_rain', 'decision_driven_plot')]",['the_people_who_dug_for_rain'],['decision_driven_plot']
1,1,"('the_people_who_dug_for_rain', 'individual_accolades')",corpus,"[0.0,1.0]","[0.02,0.02]",rule_10,"[('the_people_who_dug_for_rain', 'individual_accolades')]",['the_people_who_dug_for_rain'],['individual_accolades']
1,1,"('the_people_who_dug_for_rain', 'inner_journey')",corpus,"[0.0,1.0]","[0.0,0.0]",rule_15,"[('the_people_who_dug_for_rain', 'inner_journey')]",['the_people_who_dug_for_rain'],['inner_journey']
1,1,"('the_people_who_dug_for_rain', 'internal_goals')",corpus,"[0.0,1.0]","[0.02,0.02]",rule_20,"[('the_people_who_dug_for_rain', 'internal_goals')]",['the_people_who_dug_for_rain'],['internal_goals']
1,1,"('the_people_who_dug_for_rain', 'man_vs_self_world_conflict')",corpus,"[0.0,1.0]","[0.01,0.01]",rule_25,"[('the_people_who_dug_for_rain', 'man_vs_self_world_conflict')]",['the_people_who_dug_for_rain'],['man_vs_self_world_conflict']
1,1,"('the_people_who_dug_for_rain', 'meritocracy_emphasis')",corpus,"[0.0,1.0]","[0.0,0.0]",rule_30,"[('the_people_who_dug_for_rain', 'meritocracy_emphasis')]",['the_people_who_dug_for_rain'],['meritocracy_emphasis']
1,1,"('the_people_who_dug_for_rain', 'moral_emphasis')",corpus,"[0.0,1.0]","[0.01,0.01]",rule_35,"[('the_people_who_dug_for_rain', 'moral_emphasis')]",['the_people_who_dug_for_rain'],['moral_emphasis']
1,1,"('the_people_who_dug_for_rain', 'personal_ethics_over_group_norms')",corpus,"[0.0,1.0]","[0.01,0.01]",rule_40,"[('the_people_who_dug_for_rain', 'personal_ethics_over_group_norms')]",['the_people_who_dug_for_rain'],['personal_ethics_over_group_norms']
1,1,"('the_people_who_dug_for_rain', 'primary_conflict')",corpus,"[0.0,1.0]","[0.01,0.01]",rule_45,"[('the_people_who_dug_for_rain', 'primary_conflict')]",['the_people_who_dug_for_rain'],['primary_conflict']
1,1,"('the_people_who_dug_for_rain', 'protagonist_centered_focus')",corpus,"[0.0,1.0]","[0.03,0.03]",rule_50,"[('the_people_who_dug_for_rain', 'protagonist_centered_focus')]",['the_people_who_dug_for_rain'],['protagonist_centered_focus']
1,1,"('the_people_who_dug_for_rain', 'relationship_framing')",corpus,"[0.0,1.0]","[0.01,0.01]",rule_55,"[('the_people_who_dug_for_rain', 'relationship_framing')]",['the_people_who_dug_for_rain'],['relationship_framing']
1,1,"('the_people_who_dug_for_rain', 'relationship_orientation')",corpus,"[0.0,1.0]","[0.0,0.0]",rule_60,"[('the_people_who_dug_for_rain', 'relationship_orientation')]",['the_people_who_dug_for_rain'],['relationship_orientation']
1,1,"('the_people_who_dug_for_rain', 'resolution_style')",corpus,"[0.0,1.0]","[0.0,0.0]",rule_65,"[('the_people_who_dug_for_rain', 'resolution_style')]",['the_people_who_dug_for_rain'],['resolution_style']
1,1,"('the_people_who_dug_for_rain', 'self_actualization_climax')",corpus,"[0.0,1.0]","[0.01,0.01]",rule_70,"[('the_people_who_dug_for_rain', 'self_actualization_climax')]",['the_people_who_dug_for_rain'],['self_actualization_climax']
1,1,"('the_people_who_dug_for_rain', 'self_construal')",corpus,"[0.0,1.0]","[0.0,0.0]",rule_75,"[('the_people_who_dug_for_rain', 'self_construal')]",['the_people_who_dug_for_rain'],['self_construal']
1,1,"('the_people_who_dug_for_rain', 'self_reliance')",corpus,"[0.0,1.0]","[0.02,0.02]",rule_80,"[('the_people_who_dug_for_rain', 'self_reliance')]",['the_people_who_dug_for_rain'],['self_reliance']
1,1,"('the_people_who_dug_for_rain', 'solo_confrontations')",corpus,"[0.0,1.0]","[0.0,0.0]",rule_85,"[('the_people_who_dug_for_rain', 'solo_confrontations')]",['the_people_who_dug_for_rain'],['solo_confrontations']
1,1,"('the_people_who_dug_for_rain', 'uniqueness_self_expression')",corpus,"[0.0,1.0]","[0.02,0.02]",rule_91,"[('the_people_who_dug_for_rain', 'uniqueness_self_expression')]",['the_people_who_dug_for_rain'],['uniqueness_self_expression']
1,1,"('the_people_who_dug_for_rain', 'vertical_individualism')",corpus,"[0.0,1.0]","[0.0,0.0]",rule_95,"[('the_people_who_dug_for_rain', 'vertical_individualism')]",['the_people_who_dug_for_rain'],['vertical_individualism']
